INDEX | VALUE                               | PARENT | SIBLING
1     | program                             | 0      | 0
2     | </                                  | 1      | 0
3     | statement_list                      | 1      | 2
4     | />                                  | 1      | 3
5     | statement                           | 3      | 0
6     | declaration_statement               | 5      | 0
7     | ;                                   | 5      | 6
8     | var                                 | 6      | 0
9     | ids_with_possible_assignments       | 6      | 8
10    | identifier                          | 9      | 0
11    | optional_assignment                 | 9      | 10
12    | letter                              | 10     | 0
13    | a                                   | 12     | 0
14    | is                                  | 11     | 0
15    | assignment                          | 11     | 14
16    | expression                          | 15     | 0
17    | int_expression                      | 16     | 0
18    | int_constant                        | 17     | 0
19    | optional_sign                       | 18     | 0
20    | positive_int_constant               | 18     | 19
21    | +                                   | 19     | 0
22    | digit                               | 20     | 0
23    | non_zero_digit                      | 22     | 0
24    | 1                                   | 23     | 0
