Token: </, Position: (-1, -1)
Token: const, Position: (-1, -1)
Token: IDENTIFIER, Position: (4, 0)
Token: is, Position: (-1, -1)
Token: +, Position: (-1, -1)
Token: CONSTANT, Position: (2, 0)
Token: ;, Position: (-1, -1)
Token: const, Position: (-1, -1)
Token: IDENTIFIER, Position: (8, 0)
Token: is, Position: (-1, -1)
Token: +, Position: (-1, -1)
Token: CONSTANT, Position: (3, 0)
Token: ;, Position: (-1, -1)
Token: const, Position: (-1, -1)
Token: IDENTIFIER, Position: (7, 0)
Token: is, Position: (-1, -1)
Token: +, Position: (-1, -1)
Token: CONSTANT, Position: (4, 0)
Token: ;, Position: (-1, -1)
Token: var, Position: (-1, -1)
Token: IDENTIFIER, Position: (2, 0)
Token: is, Position: (-1, -1)
Token: -, Position: (-1, -1)
Token: CONSTANT, Position: (1, 0)
Token: ;, Position: (-1, -1)
Token: if, Position: (-1, -1)
Token: (, Position: (-1, -1)
Token: IDENTIFIER, Position: (4, 0)
Token: >=, Position: (-1, -1)
Token: IDENTIFIER, Position: (8, 0)
Token: ), Position: (-1, -1)
Token: {, Position: (-1, -1)
Token: IDENTIFIER, Position: (2, 0)
Token: is, Position: (-1, -1)
Token: IDENTIFIER, Position: (4, 0)
Token: ;, Position: (-1, -1)
Token: }, Position: (-1, -1)
Token: else, Position: (-1, -1)
Token: {, Position: (-1, -1)
Token: IDENTIFIER, Position: (2, 0)
Token: is, Position: (-1, -1)
Token: IDENTIFIER, Position: (8, 0)
Token: ;, Position: (-1, -1)
Token: }, Position: (-1, -1)
Token: if, Position: (-1, -1)
Token: (, Position: (-1, -1)
Token: IDENTIFIER, Position: (7, 0)
Token: >=, Position: (-1, -1)
Token: IDENTIFIER, Position: (2, 0)
Token: ), Position: (-1, -1)
Token: {, Position: (-1, -1)
Token: IDENTIFIER, Position: (2, 0)
Token: is, Position: (-1, -1)
Token: IDENTIFIER, Position: (7, 0)
Token: ;, Position: (-1, -1)
Token: }, Position: (-1, -1)
Token: print, Position: (-1, -1)
Token: (, Position: (-1, -1)
Token: IDENTIFIER, Position: (2, 0)
Token: ), Position: (-1, -1)
Token: />, Position: (-1, -1)
